Pharmacy Code,01/01/2025,01/02/2025,01/03/2025,01/04/2025,01/05/2025,01/06/2025,01/07/2025,01/08/2025,01/09/2025,01/10/2025,01/11/2025,01/12/2025,01/01/2026,01/02/2026,01/03/2026,01/04/2026,01/05/2026,01/06/2026,01/07/2026,01/08/2026,01/09/2026,01/10/2026,01/11/2026,01/12/2026
PH001,9,11,10,5,10,2,1,9,3,5,5,10,11,10,1,3,9,11,3,9,2,12,7,10
PH002,6,7,1,7,9,3,11,10,10,5,12,6,3,6,1,4,4,9,8,7,12,6,9,0
PH003,7,11,2,6,11,0,6,7,3,9,11,0,8,12,9,4,11,3,1,5,12,6,8,0
PH004,12,11,6,6,0,2,7,0,4,5,10,0,8,4,2,10,5,0,7,1,11,7,9,2
PH005,4,9,2,10,11,0,12,10,5,8,0,4,6,0,0,0,10,1,8,6,0,10,7,2
PH006,10,2,0,9,1,9,5,11,3,10,0,2,8,9,2,9,12,2,5,10,4,2,12,3
PH007,8,9,9,1,11,3,10,6,4,10,11,5,5,9,3,9,9,4,8,10,4,11,1,0
PH008,10,4,4,6,12,5,12,11,6,0,12,4,7,5,0,6,10,5,8,11,5,6,8,8
PH009,12,11,8,12,3,5,9,3,6,9,11,4,0,6,5,0,0,6,9,1,2,7,1,6
PH010,8,2,5,12,12,8,1,0,8,0,3,1,5,2,9,6,0,3,11,8,5,1,1,6
PH011,0,9,4,11,1,10,10,2,9,8,11,7,2,1,5,12,3,3,9,3,11,4,12,3
PH012,4,11,10,3,5,9,1,6,4,10,0,7,11,11,6,10,2,11,3,0,3,0,5,4
PH013,9,7,11,11,4,8,3,2,9,0,3,7,9,5,5,0,6,9,8,1,9,0,3,0
PH014,6,3,10,2,8,8,11,3,11,7,0,5,2,4,9,4,1,8,0,7,7,12,5,8
PH015,10,4,11,1,7,0,6,12,4,0,6,8,11,4,11,9,2,6,2,8,9,3,1,10
PH016,5,9,7,4,9,2,8,2,10,0,5,10,2,5,7,2,9,8,11,3,11,11,6,10
PH017,6,8,3,6,4,10,2,8,6,3,4,9,10,1,12,4,2,11,5,6,8,4,10,6
PH018,2,10,0,1,5,8,1,8,0,4,2,12,4,12,4,11,8,0,12,4,12,2,5,0
PH019,9,6,11,6,10,11,12,6,12,12,7,10,12,6,0,8,3,12,6,9,8,0,10,1
PH020,0,6,3,3,6,10,6,7,12,5,10,9,3,6,0,1,9,11,0,8,2,10,5,11
PH021,8,2,9,1,8,0,0,5,0,1,10,1,6,9,1,4,8,10,5,10,2,11,6,4
PH022,4,8,3,7,5,0,7,11,7,3,9,2,4,4,12,5,10,3,7,6,0,6,11,0
PH023,6,11,0,0,10,12,3,8,3,10,7,12,4,0,0,3,12,4,3,6,12,5,2,10
PH024,11,10,2,7,9,11,5,11,3,12,9,4,7,11,3,12,8,1,7,0,2,5,0,4
PH025,6,5,4,5,0,5,8,7,1,9,11,11,9,12,4,1,9,8,7,0,2,1,0,4
PH026,5,1,0,6,11,5,4,9,6,5,0,8,7,9,3,10,4,0,6,11,9,7,0,0
PH027,8,11,6,0,9,2,6,1,2,8,10,2,6,11,6,8,12,7,11,11,8,0,9,2
PH028,6,2,5,2,11,8,10,2,2,10,11,6,8,1,2,7,12,4,6,5,0,10,2,11
PH029,12,10,2,11,3,3,6,12,7,4,3,8,7,2,4,12,0,6,12,3,5,12,6,11
PH030,8,3,11,8,0,7,12,12,4,0,6,0,8,12,10,8,3,9,12,7,9,4,5,8
PH031,9,4,2,9,3,5,7,5,0,8,0,9,1,3,6,8,5,7,12,4,12,12,5,0
PH032,10,2,5,1,1,8,0,3,4,9,5,7,10,4,10,12,2,12,6,3,9,0,10,9
PH033,7,0,11,10,6,8,10,6,9,2,2,7,0,4,6,11,9,1,9,8,2,4,6,12
PH034,3,5,6,11,5,5,11,2,11,8,7,12,10,7,11,5,3,10,5,10,11,1,6,2
PH035,2,3,1,12,2,11,5,3,5,0,7,7,1,5,10,5,11,4,2,9,0,6,6,10
PH036,0,8,5,11,8,0,0,5,0,3,4,0,1,5,0,3,12,11,3,6,0,5,12,8
PH037,0,8,0,8,1,8,2,9,8,0,7,11,4,9,3,7,8,1,8,9,3,6,1,8
PH038,3,6,11,2,10,2,1,8,11,7,2,9,6,1,11,1,10,5,7,1,5,6,10,2
PH039,2,6,10,4,10,10,2,6,0,2,10,6,11,9,3,12,11,1,9,12,0,5,10,7
PH040,5,9,4,5,7,0,5,5,12,6,12,7,7,11,3,9,3,8,5,12,5,12,0,12
PH041,3,1,10,12,8,12,8,12,4,2,8,7,9,9,6,7,1,11,7,2,4,8,12,10
PH042,3,8,0,10,7,1,7,10,12,2,10,2,11,3,6,7,0,7,0,7,2,10,4,2
PH043,5,10,2,5,1,6,3,10,2,12,1,1,9,12,4,9,0,3,9,5,7,9,2,9
PH044,7,9,3,8,0,10,5,12,5,6,1,11,8,4,7,12,0,5,11,2,4,12,12,4
PH045,11,12,3,5,12,7,10,8,1,11,5,2,10,5,4,0,3,10,11,4,7,11,2,6
PH046,6,11,2,7,4,12,8,3,10,10,2,12,1,11,6,0,7,6,7,6,7,2,5,10
PH047,7,2,5,12,9,3,9,0,5,12,8,6,11,8,12,12,1,9,3,1,8,0,7,6
PH048,8,4,5,9,1,8,9,7,6,1,1,8,2,5,4,12,8,8,0,8,1,11,4,9
PH049,11,0,3,8,5,4,7,5,8,3,6,0,9,6,11,1,3,10,4,4,4,12,9,12
PH050,11,6,10,12,12,6,3,3,9,0,10,5,1,9,8,5,9,12,12,6,0,3,5,7
PH051,0,3,2,9,8,10,1,8,2,1,4,9,6,5,0,12,7,9,1,11,10,4,8,12
PH052,7,4,8,1,1,11,5,7,7,3,11,0,3,7,1,3,9,11,6,4,12,2,8,12
PH053,3,6,8,3,10,0,12,7,0,6,6,7,4,9,7,6,0,12,4,9,2,3,11,0
PH054,1,5,11,10,9,9,8,12,11,3,9,4,1,7,3,8,5,9,4,0,11,8,10,1
PH055,1,5,10,4,8,1,8,5,12,2,10,9,8,3,10,5,11,4,5,8,0,7,9,0
PH056,3,7,12,6,1,0,4,10,2,6,11,2,6,5,1,6,10,12,7,2,12,6,0,1
PH057,12,6,3,9,8,10,5,12,1,10,11,2,6,1,4,5,10,2,8,7,1,10,12,10
PH058,8,3,11,6,12,7,6,11,1,8,11,12,7,3,2,10,0,3,8,1,8,3,7,11
PH059,3,5,2,8,1,3,8,4,2,7,12,9,6,8,3,10,11,3,8,0,4,7,9,10
PH060,7,2,5,8,10,3,10,7,3,9,5,3,8,6,4,9,3,6,7,12,6,5,6,11
